epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60592,3.15435,13.3275,1.84762,7e-05,0.01807,4e-05,1e-05,2.99704,7.74968,2.31414,0.0982,0.0002,0.0002
2,2.94158,2.91585,8.76422,2.05154,7e-05,0.01807,6e-05,3e-05,2.98481,7.62793,2.2974,0.095495,0.00049505,0.00049505
3,4.28404,2.83765,7.90165,1.87396,7e-05,0.01807,4e-05,2e-05,2.96049,7.54185,2.27593,0.0927842,0.00078416,0.00078416
4,5.62871,2.53879,7.11862,1.73121,5e-05,0.01205,4e-05,2e-05,2.91574,7.03061,2.24151,0.0900673,0.00106733,0.00106733
5,6.97755,3.16752,7.30493,1.94358,5e-05,0.01205,4e-05,2e-05,2.88632,6.77592,2.17178,0.0873446,0.00134456,0.00134456
6,8.33631,2.8582,6.25405,1.71228,0.0001,0.0241,8e-05,3e-05,2.81464,5.11822,2.08115,0.0846159,0.00161585,0.00161585
7,9.67938,2.47767,5.45761,1.70429,0.00019,0.04819,0.00011,3e-05,2.70659,4.65849,1.99879,0.0818812,0.0018812,0.0018812
8,10.9908,2.59562,7.74427,1.39983,7e-05,0.00602,5e-05,3e-05,2.60734,4.60433,1.93632,0.0791406,0.00214061,0.00214061
9,12.3039,2.82334,5.13544,1.53027,6e-05,0.00602,7e-05,3e-05,2.61306,4.6647,1.90521,0.0763941,0.00239408,0.00239408
10,13.6207,1.58719,5.53446,1.00471,6e-05,0.00602,0.00012,5e-05,2.48708,4.7561,1.85467,0.0736416,0.00264161,0.00264161
11,14.9451,2.65436,4.02518,1.76545,6e-05,0.00602,4e-05,3e-05,2.50024,4.45249,1.89015,0.0708832,0.0028832,0.0028832
12,16.2584,2.25373,3.36073,1.42762,6e-05,0.00602,3e-05,2e-05,2.61926,4.53493,1.99544,0.0681189,0.00311885,0.00311885
13,17.5678,2.33787,3.20693,1.54924,6e-05,0.00602,4e-05,3e-05,2.52849,4.53821,1.90256,0.0653486,0.00334856,0.00334856
14,18.8929,2.13702,2.57698,1.2617,6e-05,0.00602,4e-05,2e-05,2.59063,4.48866,1.96933,0.0625723,0.00357233,0.00357233
15,20.2194,2.54365,2.90304,1.51532,6e-05,0.00602,3e-05,2e-05,2.59568,4.51532,1.94449,0.0597902,0.00379016,0.00379016
16,21.5495,2.37092,3.02611,1.57091,5e-05,0.00602,3e-05,2e-05,2.53463,4.50817,2.04241,0.057002,0.00400205,0.00400205
17,22.8575,2.32907,3.39735,1.68273,5e-05,0.00602,3e-05,3e-05,2.53305,4.48298,2.01889,0.054208,0.004208,0.004208
18,24.1777,2.41618,2.51902,1.52443,5e-05,0.00602,3e-05,2e-05,2.76287,4.46623,2.60402,0.051408,0.00440801,0.00440801
19,25.4986,2.27038,2.80003,1.55705,0.00012,0.01205,6e-05,2e-05,2.72243,4.33233,2.48073,0.0486021,0.00460208,0.00460208
20,26.8197,2.65911,2.55487,1.51732,6e-05,0.00602,4e-05,2e-05,2.53137,4.30569,2.40013,0.0457902,0.00479021,0.00479021
21,28.1251,2.30581,2.93226,1.34742,0.00023,0.01807,0.00097,0.00025,2.70611,4.28719,2.79632,0.0429724,0.0049724,0.0049724
22,29.429,2.40539,2.7553,1.55132,0.00012,0.00602,6e-05,3e-05,2.57439,4.37394,2.31057,0.0401487,0.00514865,0.00514865
23,30.73,2.49913,2.90919,1.38437,0.00091,0.04217,0.01298,0.00645,2.52974,4.32001,2.24427,0.037319,0.00531896,0.00531896
24,32.0409,2.51821,2.95875,1.5347,0.00171,0.06627,0.03796,0.01417,2.51104,4.28066,2.32586,0.0344833,0.00548333,0.00548333
25,33.3325,2.4178,2.48473,1.50561,0.00385,0.12048,0.08246,0.02726,2.47134,4.18849,2.21504,0.0316418,0.00564176,0.00564176
26,34.6469,2.04579,2.02916,1.28792,0.00754,0.1988,0.09295,0.03813,2.54769,4.02475,2.30653,0.0287943,0.00579425,0.00579425
27,35.9429,2.09149,2.21659,1.35739,0.01537,0.33133,0.16806,0.05358,2.59281,3.86112,2.19419,0.0259408,0.0059408,0.0059408
28,37.2442,2.15067,2.11667,1.28224,0.02041,0.39759,0.17706,0.0626,2.59442,3.74974,2.45736,0.0230814,0.00608141,0.00608141
29,38.5467,2.09705,1.78657,1.32219,0.02202,0.5,0.17173,0.06048,2.5654,3.51712,2.32336,0.0202161,0.00621608,0.00621608
30,39.8554,1.86174,2.14818,1.26984,0.01638,0.35542,0.10523,0.03129,2.62732,3.8068,2.17549,0.0173448,0.00634481,0.00634481
31,41.1526,1.94251,2.34009,1.46977,0.01679,0.40964,0.09936,0.03365,2.72159,3.64974,2.14802,0.0144676,0.0064676,0.0064676
32,42.4559,1.94246,1.84352,1.26203,0.01906,0.46386,0.13565,0.04852,2.56585,3.552,2.10917,0.0115844,0.00658445,0.00658445
33,43.7566,1.99793,2.51317,1.2777,0.01852,0.5241,0.13558,0.04289,2.62584,3.53812,2.14798,0.00869536,0.00669536,0.00669536
34,45.061,2.19199,2.45374,1.49701,0.5656,0.17259,0.22863,0.07179,2.56007,2.88084,2.21883,0.006733,0.006733,0.006733
35,46.3593,1.81437,1.62273,1.34425,0.32518,0.1747,0.16891,0.0525,2.63107,2.7958,2.30374,0.006634,0.006634,0.006634
