epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,58.8406,1.93487,1.94628,1.28539,0.00229,0.29518,0.06165,0.01895,2.71463,4.01986,1.90786,0.021931,0.00493103,0.00493103
43,60.22,2.04898,1.9072,1.23063,0.00261,0.37349,0.12415,0.0389,2.73999,3.82386,1.86575,0.0199657,0.0049657,0.0049657
44,61.6083,1.96566,1.87739,1.30707,0.2477,0.20482,0.15558,0.05106,2.55888,3.57833,1.86986,0.0179964,0.00499641,0.00499641
45,62.9864,1.80723,1.73439,1.16169,0.58577,0.12651,0.19579,0.06322,2.49864,3.50814,1.81111,0.0160232,0.00502316,0.00502316
46,64.3668,1.88691,1.73707,1.15079,0.68308,0.06024,0.15922,0.05058,2.57916,3.42853,1.60564,0.0140459,0.00504595,0.00504595
47,65.7415,1.75605,1.74514,1.1711,0.50709,0.04965,0.12628,0.0418,2.58225,3.45908,1.73535,0.0120648,0.00506478,0.00506478
48,67.1257,1.79901,1.64836,1.11845,0.59938,0.09014,0.16599,0.06017,2.52642,3.20607,1.73925,0.0100797,0.00507965,0.00507965
49,68.5045,1.8878,1.73187,1.21889,0.44046,0.13855,0.16573,0.05582,2.54862,3.31558,1.85847,0.00809056,0.00509056,0.00509056
50,69.8859,1.85025,1.53696,1.14159,0.00255,0.38554,0.03853,0.01275,2.67154,3.77122,1.91477,0.00609751,0.00509751,0.00509751
51,71.2616,1.87895,1.71543,1.21195,0.39326,0.01966,0.05271,0.01924,2.68998,3.73696,2.06274,0.00505,0.00505,0.00505
52,72.6323,1.93533,1.66386,1.25844,0.53758,0.02124,0.06845,0.02562,2.63133,3.7356,1.99897,0.004951,0.004951,0.004951
53,74.0045,1.92062,1.62052,1.10043,0.20008,0.01807,0.04792,0.01722,2.65956,3.72539,2.02557,0.004852,0.004852,0.004852
54,75.3818,1.76522,1.65302,1.18747,0.9081,0.05958,0.18033,0.0504,2.58693,3.40829,1.82939,0.004753,0.004753,0.004753
55,76.7511,1.78508,1.64952,1.20127,0.87039,0.04062,0.20157,0.06391,2.49806,3.36367,1.76817,0.004654,0.004654,0.004654
56,78.1357,1.75558,1.52478,1.18363,0.56682,0.10241,0.17938,0.05353,2.50026,3.22617,1.79615,0.004555,0.004555,0.004555
57,79.5204,1.66749,1.4893,1.14336,0.41454,0.04819,0.11809,0.03516,2.53584,3.39261,1.77893,0.004456,0.004456,0.004456
58,80.8917,1.53558,1.43527,1.04717,0.5115,0.13855,0.1783,0.05178,2.5316,3.06944,1.75572,0.004357,0.004357,0.004357
59,82.2679,1.72435,1.62061,1.13404,0.42048,0.12651,0.13226,0.04014,2.52679,3.17706,1.73108,0.004258,0.004258,0.004258
