epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05459,3.61348,19.672,2.824,5e-05,0.01205,2e-05,1e-05,4.53533,10.5337,4.15929,0.0982,0.0002,0.0002
2,3.74383,4.24289,16.0658,4.29057,5e-05,0.01205,3e-05,1e-05,4.52793,10.3669,4.15504,0.095495,0.00049505,0.00049505
3,5.39163,4.53609,13.173,4.39619,5e-05,0.01205,3e-05,2e-05,4.5267,10.3809,4.1537,0.0927842,0.00078416,0.00078416
4,7.04894,4.40434,16.8231,3.61746,5e-05,0.01205,4e-05,3e-05,4.50929,9.35202,4.14618,0.0900673,0.00106733,0.00106733
5,8.68457,5.42231,13.4257,3.9597,9e-05,0.00602,7e-05,9e-05,4.46428,5.41192,4.12814,0.0873446,0.00134456,0.00134456
6,10.3701,3.19679,5.50437,2.92251,9e-05,0.00602,5e-05,4e-05,4.42677,4.90564,4.10728,0.0846159,0.00161585,0.00161585
7,11.9699,5.21299,6.87293,4.25495,9e-05,0.00602,5e-05,4e-05,4.39991,4.97905,4.08913,0.0818812,0.0018812,0.0018812
8,13.5346,3.54327,4.0147,2.63061,9e-05,0.00602,5e-05,4e-05,4.3676,5.12584,4.05643,0.0791406,0.00214061,0.00214061
9,15.1346,3.63208,4.27861,2.90626,9e-05,0.00602,5e-05,4e-05,4.34252,5.08329,4.02716,0.0763941,0.00239408,0.00239408
10,16.759,3.2802,3.81545,2.44787,9e-05,0.00602,5e-05,4e-05,4.31366,5.21076,3.99606,0.0736416,0.00264161,0.00264161
11,18.3971,4.03534,5.27133,3.98223,9e-05,0.00602,5e-05,4e-05,4.28669,5.29243,3.97384,0.0708832,0.0028832,0.0028832
12,20.02,2.9412,3.74441,2.50078,9e-05,0.00602,5e-05,4e-05,4.27306,5.35463,3.95695,0.0681189,0.00311885,0.00311885
13,21.5807,4.03168,5.03279,3.24796,9e-05,0.00602,5e-05,4e-05,4.26366,5.39608,3.93472,0.0653486,0.00334856,0.00334856
14,23.1645,3.97134,4.51068,2.78763,9e-05,0.00602,5e-05,4e-05,4.23802,5.4116,3.91145,0.0625723,0.00357233,0.00357233
15,24.7503,4.51253,4.01442,2.96884,9e-05,0.00602,5e-05,4e-05,4.21565,5.4209,3.89359,0.0597902,0.00379016,0.00379016
16,26.362,3.15857,3.76895,3.22242,9e-05,0.00602,5e-05,4e-05,4.17657,5.4205,3.86623,0.057002,0.00400205,0.00400205
17,27.9441,3.67723,5.09426,3.49719,9e-05,0.00602,5e-05,4e-05,4.14845,5.42174,3.84329,0.054208,0.004208,0.004208
